,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
1872,000655,金岭矿业,0.045,0.0103,6.7481,0.1505,15.0685
1873,000819,岳阳兴长,0.0449,0.0813,1.4127,0.6122,64.7886
1874,002157,正邦科技,0.0448,0.0753,2.1881,0.1183,18.9509
1875,002281,光迅科技,0.0447,0.0333,0.5771,0.0899,9.8125
1876,000717,*ST韶钢,0.0445,0.0299,,0.0306,3.4332
1877,600889,南京化纤,0.0443,0.031,0.1469,0.0881,11.6884
1878,000912,泸天化,0.0442,0.0162,,0.0178,3.3187
1879,002397,梦洁股份,0.044000000000000004,0.0338,0.42700000000000005,0.115,12.0756
1880,002536,西泵股份,0.0439,0.0282,1.4481,0.0693,8.2661
1881,300479,神思电子,0.0435,0.0304,0.3075,0.1604,17.2769
1882,300451,创业软件,0.0434,0.0208,0.3718,0.0639,6.8945
1883,600510,黑牡丹,0.0433,0.0102,0.6647,0.0164,2.5686
1884,600217,中再资环,0.043,0.0282,0.3674,0.0454,5.5885
1885,002326,永太科技,0.043,0.0193,0.4623,0.0434,4.7227
1886,002446,盛路通信,0.0428,0.0133,0.3211,0.0614,8.0608
1887,600871,石化油服,0.0427,0.0302,105.9225,0.0425,4.3001
1888,300209,天泽信息,0.0424,0.0124,,0.1605,16.4578
1889,002274,华昌化工,0.0423,0.0273,5.7724,0.049,5.8468
1890,001979,招商蛇口,0.0423,0.0099,0.259,0.013999999999999999,2.0257
1891,300014,亿纬锂能,0.0423,0.0229,0.3434,0.0798,10.3966
1892,002106,莱宝高科,0.0422,0.0239,,0.13,18.3269
1893,600694,大商股份,0.0422,0.0784,2.1044,0.1309,15.5569
1894,000959,首钢股份,0.0421,0.0113,,0.0173,2.6893
1895,600784,鲁银投资,0.042,0.0184,,0.0264,2.64
1896,002769,普路通,0.0419,0.0053,0.9103,0.0055,0.5524
1897,000778,新兴铸管,0.0418,0.0411,4.4812,0.0643,9.2233
1898,002573,清新环境,0.0416,0.0144,0.1821,0.0268,3.6153
1899,600560,金自天正,0.0416,0.0127,1.1328,0.0219,2.2328
1900,603123,翠微股份,0.0415,0.0488,1.4294,0.1194,11.9951
1901,600742,一汽富维,0.0415,0.0575,0.8972,0.1563,18.0064
1902,002737,葵花药业,0.0415,0.0334,0.3842,0.109,14.8135
1903,600653,申华控股,0.0415,0.0343,5.3662,0.0457,5.1728
1904,000599,青岛双星,0.0415,0.021,2.0982,0.0375,4.7818
1905,600080,金花股份,0.0415,0.0241,1.1776,0.14300000000000002,14.7205
1906,002603,以岭药业,0.0414,0.0231,0.309,0.1499,18.642
1907,600059,古越龙山,0.0411,0.0128,0.4235,0.0943,9.6179
1908,002660,茂硕电源,0.0411,0.0204,1.2317,0.044000000000000004,4.5142
1909,600188,兖州煤业,0.0408,0.0203,3.3901,0.0293,6.847
1910,600387,海越股份,0.0407,0.0281,,0.0349,7.4212
1911,002510,天汽模,0.0407,0.0198,0.442,0.0384,3.9769
1912,002539,云图控股,0.0406,0.0267,0.9616,0.040999999999999995,5.1176
1913,601798,蓝科高新,0.0405,0.0104,0.6533,0.0341,4.0959
1914,002217,合力泰,0.0405,0.0219,0.9246,0.0554,6.0262
1915,300234,开尔新材,0.0405,0.0195,0.2617,0.0588,6.0920000000000005
1916,000514,渝开发,0.0404,0.0063,,0.0116,1.7735
1917,000028,国药一致,0.0403,0.0793,1.331,0.13699999999999998,14.3049
1918,000825,太钢不锈,0.0402,0.0377,,0.0542,9.9064
1919,002523,天桥起重,0.0401,0.0132,0.44799999999999995,0.0378,3.8466
1920,600180,瑞茂通,0.0398,0.0326,0.8791,0.051,5.1024
1921,002742,三圣特材,0.0397,0.0262,0.455,0.0617,6.1689
1922,002265,西仪股份,0.0395,0.0235,,0.0644,6.8183
1923,600104,上汽集团,0.0393,0.0508,0.6486,0.0864,10.0876
1924,002696,百洋股份,0.0393,0.0388,1.1944,0.0897,9.2797
1925,002276,万马股份,0.0392,0.0532,0.972,0.1358,17.8168
1926,002463,沪电股份,0.0392,0.0244,23.9119,0.06,9.1812
1927,300129,泰胜风能,0.0389,0.02,0.3668,0.0541,5.5446
1928,600712,南宁百货,0.0385,0.0411,3.2886,0.0819,8.1871
