,code,name,mbrg,nprg,nav,targ,epsg,seg
936,002501,利源精制,18.8554,20.1735,11.6713,31.6136,-40.0,11.6713
937,600388,龙净环保,22.6377,20.14,12.9528,18.1246,-51.8519,13.3334
938,300535,达威股份,1.7186,20.1046,14.9309,0.0677,18.8889,15.0025
939,603288,海天味业,15.047,20.0835,16.87,4.5216,-33.5714,16.87
940,002585,双星新材,5.0788,20.0457,2.0287,3.3488,-19.0476,2.0287
941,300383,光环新网,36.126999999999995,19.9532,65.0871,82.6316,-76.1364,9.2414
942,000411,英特集团,9.8952,19.9014,10.8906,17.5366,3.125,10.7704
943,002798,帝王洁具,-14.1873,19.9007,11.6599,4.3817,18.8406,11.6599
944,000605,渤海股份,4.5302,19.8856,5.0145,2.5645,-4.1667,4.732
945,000596,古井贡酒,12.9558,19.854,15.6102,12.0001,19.3277,15.6102
946,000681,视觉中国,38.8171,19.5983,52.7483,81.8019,-2.0869,53.1171
947,002017,东信和平,11.8357,19.5656,8.9593,-1.8857,-7.1572,8.2009
948,002543,万和电气,5.3926,19.5374,9.3251,13.3048,19.5516,9.3022
949,300026,红日药业,16.9262,19.4458,124.2845,112.6751,-23.0769,124.6247
